yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
   7372
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  191   191    1805232  60906.111274  57974.7049318434560    10.15    14.84          2      0.00297  165858.859329   61138.859330
  192   192    1805244  60906.516162  57974.7049365296510     5.70    10.26          3      0.00350  165859.264184   61139.264185
  193   193    1805258  60906.988544  57974.7049419970300     6.90    17.80          4      0.00486  165859.736530   61139.736530
  194   194    1805308  60908.675359  57974.7049615203580     8.60     8.77          2      0.00136  165901.423210   61141.423210
  195   195    1805373  60910.868544  57974.7049869044480    16.62    24.33          3      0.00644  165903.616220   61143.616220
  196   196    1805602  60918.594607  57974.7050763264770    17.37    19.53          3      0.00350  165911.341664   61151.341665
  197   197    1805692  60921.630949  57974.7051114693120     5.95     8.64          2     -0.00058  165914.377764   61154.377765
  198   198    1805788  60924.869753  57974.7051489554690     6.49     6.49          1     -0.00364  165917.616309   61157.616310
  199   199    1805915  60929.154730  57974.7051985501180     7.27    14.93          4      0.00114  165921.900945   61161.900945
  200   200    1806204  60938.904999  57974.7053114004480     9.16    25.72          6     -0.00500  165931.650435   61171.650435
  201   201    1806262  60940.862111  57974.7053340522110     6.04    10.58          3      0.00311  165933.607389   61173.607390
  202   202    1806296  60942.009073  57974.7053473272320    10.11    18.25          3     -0.00142  165934.754260   61174.754260
  203   203    1806585  60951.759667  57974.7054601813250    15.05    28.25          3      0.00192  165944.504074   61184.504075
  204   204    1806733  60956.752946  57974.7055179739140     7.92    10.90          3      0.00061  165949.496955   61189.496955
  205   205    1807065  60967.954296  57974.7056476191620     8.67    10.85          2      0.00406  170000.697410   61200.697410
  206   206    1807183  60971.935239  57974.7056936948990     7.93    13.27          4     -0.00264  170004.678034   61204.678035
  207   207    1807273  60974.971781  57974.7057288400640    20.18    36.96          5     -0.00078  170007.714334   61207.714335
  208   208    1807277  60975.106687  57974.7057304014720     6.60     9.88          2     -0.00208  170007.849229   61207.849230
  209   209    1807298  60975.815074  57974.7057386003970    50.17    66.79          4     -0.00581  170008.557560   61208.557560
  210   210    1807543  60984.081264  57974.7058342738940    17.00    22.61          3      0.00061  170016.823089   61216.823090
  211   211    1807740  60990.727675  57974.7059111999360    11.63    17.01          3     -0.00256  170023.468970   61223.468970
  212   212    1807786  60992.279634  57974.7059291624320     7.59     9.98          2     -0.00331  170025.020805   61225.020805
  213   213    1807843  60994.202878  57974.7059514221950    14.21    24.50          3      0.00081  170026.943894   61226.943895
  214   214    1807877  60995.349839  57974.7059646972160    10.96    10.96          1     -0.00372  170028.090765   61228.090765
  215   215    1807886  60995.653589  57974.7059682128380     5.79     6.73          2     -0.00056  170028.394489   61228.394490
  216   216    1808135  61004.054615  57974.7060654469380    85.80   139.07          6      0.00217  170036.794844   61236.794845
  217   217    1808160  61004.897992  57974.7060752082430     8.54    10.07          2     -0.00050  170037.638155   61237.638155
  218   218    1808310  61009.958837  57974.7061337828350     7.36    13.19          3      0.00081  170042.698595   61242.698595
  219   219    1808527  61017.280297  57974.7062185219580    28.54    40.81          3      0.00594  170050.019469   61250.019470
  220   220    1808600  61019.742998  57974.7062470254340    26.42    33.72          3     -0.00078  170052.481975   61252.481975
  221   221    1808650  61021.429903  57974.7062665497980     6.65    26.75          7     -0.00161  170054.168745   61254.168745
  222   222    1808652  61021.497299  57974.7062673298560    12.20    17.38          4     -0.00406  170054.236134   61254.236135
  223   223    1808663  61021.868543  57974.7062716266500     6.70     7.45          2     -0.00036  170054.607349   61254.607350
  224   224    1808888  61029.459790  57974.7063594883070     6.72    14.09          4      0.00100  170102.197990   61262.197990
  225   225    1808915  61030.370813  57974.7063700325630     5.64    13.29          4      0.00333  170103.108939   61263.108940
  226   226    1808930  61030.876853  57974.7063758894980    17.55    22.79          4      0.00217  170103.614939   61263.614940
  227   227    1808990  61032.901175  57974.7063993191550    13.64    15.09          2      0.00219  170105.639100   61265.639100
  228   228    1809062  61035.330304  57974.7064274340740    26.23    31.23          3      0.00039  170108.068034   61268.068035
  229   229    1809126  61037.489621  57974.7064524261630     6.01     9.34          2      0.00183  170110.227180   61270.227180
  230   230    1809138  61037.894324  57974.7064571102340    20.79    46.88          6     -0.00297  170110.631849   61270.631850
  231   231    1809289  61042.988996  57974.7065160763390    14.40    29.71          3      0.00081  170115.726114   61275.726115
  232   232    1809301  61043.393993  57974.7065207638020     8.39    12.90          3      0.00492  170116.131079   61276.131080
  233   233    1809467  61048.994641  57974.7065855861250     9.82    16.44          3      0.00575  170121.731279   61281.731280
  234   234    1809637  61054.729769  57974.7066519649150     8.29    12.74          3     -0.00747  170127.465949   61287.465950
  235   235    1809675  61056.012151  57974.7066668072960    40.63    66.43          7      0.00181  170128.748229   61288.748230
  236   236    1809863  61062.355023  57974.7067402201730     7.48     9.94          2      0.00169  170135.090595   61295.090595
  237   237    1809975  61066.133705  57974.7067839549180    12.07    20.29          4      0.00022  170138.868974   61298.868975
  238   238    1809995  61066.808569  57974.7067917658370     7.25     9.55          2      0.00292  170139.543785   61299.543785
  239   239    1810126  61071.228092  57974.7068429177340    13.64    15.65          2     -0.00428  170143.962955   61303.962955
  240   240    1810291  61076.795257  57974.7069073525120     6.90    19.26          4      0.00414  170149.529674   61309.529675
  241   241    1810300  61077.098851  57974.7069108663300     7.15     8.28          2      0.00256  170149.833245   61309.833245
  242   242    1810338  61078.380984  57974.7069257058300    10.39    15.52          3      0.00442  170151.115274   61311.115275
  243   243    1810367  61079.359332  57974.7069370292990     5.65    16.11          5      0.00225  170152.093545   61312.093545
  244   244    1810698  61090.526854  57974.7070662830340     8.58    12.90          3      0.00289  170203.260175   61323.260175
  245   245    1810791  61093.664385  57974.7071025970560     8.01     9.33          2     -0.00203  170206.397454   61326.397455
  246   246    1811194  61107.261261  57974.7072599683070     7.69    15.59          3      0.00367  170219.993244   61339.993245
  247   247    1811228  61108.408343  57974.7072732447100    25.26    30.46          3      0.00269  170221.140234   61341.140235
  248   248    1811237  61108.711812  57974.7072767570820    12.72    13.11          2     -0.00244  170221.443679   61341.443680
  249   249    1811270  61109.825391  57974.7072896457340    12.31    26.74          5      0.00356  170222.557170   61342.557170
  250   250    1811281  61110.196346  57974.7072939391870     8.91    10.97          2     -0.00167  170222.928095   61342.928095
